,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros-visualization/rqt_action,gbiggs; mabelzhang; mikaelarguedas; ablasdel,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_common_plugins,ivanpauno,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_console,dirk-thomas; ablasdel; arnehitzmann,0,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_msg,audrow,2,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_publisher,dirk-thomas; dorianscholz,3,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_py_console,dorianscholz; mlautman,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_service_caller,dirk-thomas; mlautman; dorianscholz,2,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_shell,dorianscholz; kunaltyagi,2,0,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_srv,dirk-thomas; ablasdel; mlautman,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/tango_icons_vendor,audrow,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,,,,1160,,,,,,77.33333333,1160,1160,92,82.66666667,82.5,93.83333333,145,19.5,96.16666667,68.33333333,12.33333333,33.33333333,83.66666667,87.5,103,1,85.5,89.5,27,0
